contributor,creator,date,identifier,language,title
Columbia University Libraries,,1600-01-01T00:00:00Z,ldpd_14230596_000,ara,[al-Qurʼān]
Columbia University Libraries,"Ibn al-Kharrāṭ, ʻAbd al-Ḥaqq ibn ʻAbd al-Raḥmān, 1116 or 1117-1185",1600-01-01T00:00:00Z,ldpd_14642788_000,ara,[al-ʻĀqibah fī dhikr al-mawt]
Columbia University Libraries,,1674-01-01T00:00:00Z,ldpd_13892619_000,ara,[al-Juzʼ al-thānī wa-al-ʻishrūn]
Columbia University Libraries,,1653-01-01T00:00:00Z,ldpd_13604011_000,ota,[Calendar for year 1064 AH] : [manuscript]
Columbia University Libraries,,1537-01-01T00:00:00Z,ldpd_15147162_000,ara,[al-Qurʼān]
Columbia University Libraries,,1800-01-01T00:00:00Z,ldpd_14734423_000,per,Adventures of Hatim Tai
Columbia University Libraries,,1741-01-01T00:00:00Z,ldpd_14230690_000,ara,al-Qurʼān
Columbia University Libraries,,1800-01-01T00:00:00Z,ldpd_14734132_000,per,[Framed lacquer painting]
Columbia University Libraries,,1750-01-01T00:00:00Z,ldpd_13893195_000,ara,al-Juzʼ al-rābiʻ ʻashar
Columbia University Libraries,,1849-01-01T00:00:00Z,ldpd_15147196_000,ara,[al-Qurʼān]
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_14230714_000,ara,[al-Qurʼān]
Columbia University Libraries,"Jāmī, 1414-1492",1725-01-01T00:00:00Z,ldpd_13893201_000,per,[Leaf from Yūsuf va Zulaykhā]
Columbia University Libraries,"Ghaznawī, Aḥmad, -1196 or 1197",1684-01-01T00:00:00Z,ldpd_13892931_000,ara,al-Muqaddimah al-Ghaznawīyah
Columbia University Libraries,,1600-01-01T00:00:00Z,ldpd_14642795_000,ota,[Ottoman Turkish expansion on al-Būṣīrī's qaṣīdat al-Burdah]
Columbia University Libraries,,1674-01-01T00:00:00Z,ldpd_13892618_000,ara,al-Juzʼ al-sādis ʻashar
Columbia University Libraries,,1674-01-01T00:00:00Z,ldpd_13892929_000,ara,al-Juzʼ al-tāsiʻ
Columbia University Libraries,,1596-01-01T00:00:00Z,ldpd_13604169_000,per,Sharḥ-i ʻaṣā-yi mukhtariʻ-i humāyūn pādshāh. Ganj-i nahān khānah-i ḥayy-i qadīm
Columbia University Libraries,"Hātif, Sayyid Aḥmad, -1783 or 1784",1775-01-01T00:00:00Z,ldpd_14734460_000,per,[Dīvān]
Columbia University Libraries,"Bhāskarācārya, 1114-",1675-01-01T00:00:00Z,ldpd_13892523_000,per,Līlāvatī: [manuscript]
Columbia University Libraries,,1495-01-01T00:00:00Z,ldpd_14566181_000,ara,Sharḥ Hidāyat al-ḥikmah. Risālah fī ʻilm al-hayʼah
Columbia University Libraries,"Muʻaẓẓam, Sultan of Damascus, 1180-1227",1226-01-01T00:00:00Z,ldpd_14734880_000,ara,al-Sahm al-muṣīb fī kabid al-Khaṭīb
Columbia University Libraries,,1675-01-01T00:00:00Z,ldpd_13604622_000,ara,al-Juzʼ al-rābiʻ wa-al-ʻishrūn
Columbia University Libraries,"Kashfī, Jaʻfar ibn Abī Isḥāq, -1850 or 1851",1818-01-01T00:00:00Z,ldpd_13893200_000,per,Tuḥfat al-mulūk
Columbia University Libraries,"Jalāl al-Dīn Rūmī, Maulana, 1207-1273",1495-01-01T00:00:00Z,ldpd_13892539_000,per,al-Mujallad al-rābiʻ min al-mathnawī al-maʻnawī al-hādī ilá ṣirāṭ al-sawī
Columbia University Libraries,,1674-01-01T00:00:00Z,ldpd_13892616_000,ara,al-Juzʼ al-awwal
Columbia University Libraries,"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274",1650-01-01T00:00:00Z,ldpd_13603952_000,per,Sharḥ-i ṣad kalimah-i Baṭlamiyūs
Columbia University Libraries,"Ghazzī, Muḥammad ibn Qāsim, 1454 or 1455-1512 or 1513",1676-01-01T00:00:00Z,ldpd_14642786_000,ara,Fatḥ al-qarīb al-mujīb fī sharḥ alfāẓ al-Taqrīb
Columbia University Libraries,,1600-01-01T00:00:00Z,ldpd_14642086_000,per,ʻAjīb al-masāʼil. [Risālah dar hayʼat]
Columbia University Libraries,"Ibn Abī Zayd al-Qayrawānī, ʻAbd Allāh ibn ʻAbd al-Raḥmān, active 10th century, author",1589-01-01T00:00:00Z,ldpd_12411428_000,spa,Risala
Columbia University Libraries,,1432-01-01T00:00:00Z,ldpd_15265608_000,per,[Collection of Persian poetry]
Columbia University Libraries,,2023-08-10T00:00:00Z,ldpd_14642736_000,ara,[Qurʼān folio]
Columbia University Libraries,,1602-01-01T00:00:00Z,ldpd_15147174_000,ara,al-Qurʼān
Columbia University Libraries,,1818-01-01T00:00:00Z,ldpd_13893217_000,ara,[al-Qurʼān]
Columbia University Libraries,Euclid,1348-01-01T00:00:00Z,ldpd_13604039_000,ara,Uṣūl al-handasah wa-al-ḥisāb
Columbia University Libraries,"Muʻīn al-Dīn Yazdī, -1387",1431-01-01T00:00:00Z,ldpd_14649872_000,per,[Mavāhib-i ilāhī]
Columbia University Libraries,"Ḥāfiẓ, active 14th century",1700-01-01T00:00:00Z,ldpd_14642099_000,per,Dīvān
Columbia University Libraries,,1674-01-01T00:00:00Z,ldpd_13892927_000,ara,al-Juzʼ al-tāsiʻ ʻashar
Columbia University Libraries,"Bhāskarācārya, 1114-",1711-01-01T00:00:00Z,ldpd_13604137_000,per,Līlāvatī
Columbia University Libraries,,1825-01-01T00:00:00Z,ldpd_15147187_000,per,Hāz̲ā kitāb Sirāj al-munīr. ʻAqāyid al-nisā
Columbia University Libraries,"Āmulī, Rukn ibn Sharaf al-Dīn, active 1456",1750-01-01T00:00:00Z,ldpd_13604004_000,per,Panjāh bāb-i sulṭānī bi-ʻilm-i usṭurlāb : [manuscript]
Columbia University Libraries,"Theodosius, active 1st century B.C",1850-01-01T00:00:00Z,ldpd_13604015_000,ara,Kitāb al-ukar : [manuscript]
Columbia University Libraries,Saʻdī,1757-01-01T00:00:00Z,ldpd_15467901_000,per,[Būstān. Pandnāmah]
Columbia University Libraries,"Tustarī, Ṣūfī Kamāl, active 14th century",1462-01-01T00:00:00Z,ldpd_14642096_000,per,[Ghāyat al-murād fī wifq al-aʻdād]
Columbia University Libraries,,1400-01-01T00:00:00Z,ldpd_14642706_000,ara,[Coptic-Arabic glossary]
Columbia University Libraries,,1719-01-01T00:00:00Z,ldpd_14294923_000,ara,Hādhihi risālah fī al-ḥisāb ..
Columbia University Libraries,"Ibn Hishām, ʻAbd Allāh ibn Yūsuf, 1309-1360",1600-01-01T00:00:00Z,ldpd_13604624_000,ara,Sharḥ Qaṭr al-nadā wa-ball al-ṣadā
Columbia University Libraries,"Vehbi, approximately 1719-1809",1775-01-01T00:00:00Z,ldpd_14294928_000,ota,Hadhā kitāb Tuḥfah-ʼi Vahbī Sünbülʹzade
