contributor,creator,date,identifier,language,title
Columbia University Libraries,"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",1650-01-01T00:00:00Z,ldpd_14230684_000,ara,Dalāʼil al-khayrāt wa-shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār ..
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_14230585_000,ara,[Devotional book]
Columbia University Libraries,"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",1836-01-01T00:00:00Z,ldpd_14649887_000,ara,Dalāʼil al-khayrāt wa-shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-Nabī al-mukhtār
Columbia University Libraries,,1800-01-01T00:00:00Z,ldpd_14642712_000,per,[Two Persian miniatures]
Columbia University Libraries,,1750-01-01T00:00:00Z,ldpd_14230567_000,ara,Ziyārat-i ʻĀshūrāʼ
Columbia University Libraries,"ʻIyāḍ ibn Mūsá, 1083-1149",1785-01-01T00:00:00Z,ldpd_15264393_000,ara,al-Shifāʼ al-sharīf
Columbia University Libraries,,1680-01-01T00:00:00Z,ldpd_14230574_000,ara,al-Qurʼān
Columbia University Libraries,,1757-01-01T00:00:00Z,ldpd_14230569_000,ara,[Devotional book]
Columbia University Libraries,"Āz̲ar Baygdilī, Luṭf ʻAlī ibn Āqā Khān, 1721 or 1722-1780 or 1781",1800-01-01T00:00:00Z,ldpd_15147178_000,per,Ātishkadah
Columbia University Libraries,"Maḥallī, Jalāl al-Dīn Muḥammad ibn Aḥmad, 1389-1459",1400-01-01T00:00:00Z,ldpd_14642703_000,ara,[Badr al-ṭāliʻ fī ḥall Jamʻ al-jawāmiʻ]
Columbia University Libraries,,1716-01-01T00:00:00Z,ldpd_14649870_000,ara,[Devotional book]
Columbia University Libraries,"Hilālī, Aḥmad ibn ʻAbd al-ʻAzīz, 1701-1761",1881-01-01T00:00:00Z,ldpd_14642101_000,ara,Fatḥ al-quddūs fī sharḥ khuṭbat al-Qāmūs
Columbia University Libraries,"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",1835-01-01T00:00:00Z,ldpd_14230691_000,ara,Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār
Columbia University Libraries,"Lāhūrī, Imām al-Dīn ibn Luṭf Allāh",1800-01-01T00:00:00Z,ldpd_15311689_000,ara,Taṣrīḥ fī sharḥ Tashrīḥ al-aflāk
Columbia University Libraries,,1830-01-01T00:00:00Z,ldpd_15467906_000,ara,[Fragment of an Arabic grammar]
Columbia University Libraries,,1797-01-01T00:00:00Z,ldpd_15311693_000,ara,Zīj
Columbia University Libraries,"Abū al-Fatḥ ibn Abī al-Ḥasan, al-Sāmirī, active 1355",1750-01-01T00:00:00Z,ldpd_15467904_000,ara,[Kitāb al-tārīkh mimmā taqaddama ʻan al-ābāʼ]
Columbia University Libraries,"Ibn al-Wāsiṭī, Shihāb al-Dīn Ghāzī ibn Aḥmad, -1312",1758-01-01T00:00:00Z,ldpd_17022528_000,ara,Hādhā al-kitāb Radd ʻalá ahl al-dhimmah wa-man tabaʻahum
Columbia University Libraries,"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",1500-01-01T00:00:00Z,ldpd_14678257_000,per,[Leaf from Khusraw va Shīrīn]
Columbia University Libraries,"Baháʼuʼlláh, 1817-1892",1874-01-01T00:00:00Z,ldpd_15311697_000,ara,[Kitāb-i aqdas]
Columbia University Libraries,"Qāz̤ī Muḥammad Aʻlá, active 1767",1800-01-01T00:00:00Z,ldpd_14642103_000,per,Masāyil-i jabr va muqābalah
Columbia University Libraries,"Ibn Ghāzī, Muḥammad ibn Aḥmad, 1437 or 1438-1513",1799-01-01T00:00:00Z,ldpd_14294929_000,ara,al-Qurʼān
Columbia University Libraries,,1674-01-01T00:00:00Z,ldpd_13604651_000,ara,al-Juzʼ al-thāmin ʻashar
Columbia University Libraries,,1650-01-01T00:00:00Z,ldpd_13892589_000,ara,[Qur'ān leaf]
Columbia University Libraries,,1500-01-01T00:00:00Z,ldpd_13892580_000,ara,[al-Qurʼān]
Columbia University Libraries,"Jāmī, 1414-1492",1700-01-01T00:00:00Z,ldpd_14677888_000,per,[Subḥat al-abrār]
Columbia University Libraries,,1350-01-01T00:00:00Z,ldpd_15264389_000,ara,[al-Qurʼān]
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_14294922_000,per,Risālah dar hayʼat. [Sharḥ-i Risālah dar hayʼat]
Columbia University Libraries,"Ḥāfiẓ, active 14th century",1700-01-01T00:00:00Z,ldpd_14642709_000,per,[Leaf with ghazal of Ḥāfiẓ]
Columbia University Libraries,,1812-01-01T00:00:00Z,ldpd_15265587_000,ara,[al-Qurʼān]
Columbia University Libraries,"Ṭabāṭabāʼī, Muḥammad Ashraf ibn Ḥabīb Allāh, active 17th century",1600-01-01T00:00:00Z,ldpd_14642716_000,ara,Sharḥ Khulāṣat al-ḥisāb
Columbia University Libraries,,1850-01-01T00:00:00Z,ldpd_15467915_000,ara,Mawlid al-Nabī Muḥammad
Columbia University Libraries,,1400-01-01T00:00:00Z,ldpd_14642707_000,ara,[Two mounted Qurʼān leaves]
Columbia University Libraries,,1800-01-01T00:00:00Z,ldpd_14294918_000,ara,[al-Qurʼān]
Columbia University Libraries,,1400-01-01T00:00:00Z,ldpd_14230834_000,ara,al-Juzʼ al-ḥādī ʻashar
Columbia University Libraries,,1400-01-01T00:00:00Z,ldpd_14230888_000,ara,al-Juzʼ al-ʻishrūn
Columbia University Libraries,,1300-01-01T00:00:00Z,ldpd_14230716_000,ara,al-Juzʼ al-thālith ʻashar
Columbia University Libraries,"Jamālī, Faḍīl ibn ʻAlī, active 1551",1551-01-01T00:00:00Z,ldpd_15264381_000,ara,Risālat al-waẓāʼif al-wāfiyah
Columbia University Libraries,"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",1600-01-01T00:00:00Z,ldpd_14678729_000,ara,[Leaf from Makhzan al-asrār]
Columbia University Libraries,"Birjandī, ʻAbd al-ʻAlī ibn Muḥammad ibn Ḥusayn, active 16th century",1686-01-01T00:00:00Z,ldpd_15311687_000,per,Sharḥ-i Zīj-i Sulṭānī
Columbia University Libraries,"Amīr Khusraw Dihlavī, approximately 1253-1325",1568-01-01T00:00:00Z,ldpd_14642787_000,per,[Khamsah]
Columbia University Libraries,"Birgivî Mehmet Efendi, approximately 1522-1573",1726-01-01T00:00:00Z,ldpd_14642789_000,ota,Vaṣiyyet
Columbia University Libraries,,1809-01-01T00:00:00Z,ldpd_14642791_000,ara,[al-Qurʼān]
Columbia University Libraries,"Rawghanī, Muḥammad Ṣāliḥ ibn Muḥammad Bāqir, -1632 or 1633",1750-01-01T00:00:00Z,ldpd_13892974_000,per,[Sharḥ-i Nahj al-balāghah]
Columbia University Libraries,"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274",1600-01-01T00:00:00Z,ldpd_14642084_000,per,Dar maʻrifat-i taqvīm mushtamil bar sī faṣl
Columbia University Libraries,"Quṭb al-Shīrāzī, Maḥmūd ibn Masʻūd, 1236 or 1237-1310 or 1311",1378-01-01T00:00:00Z,ldpd_14642715_000,per,Tarjumah-i kitāb-i Taḥrīr-i Uqlīdus-i dar uṣūl-i handasah va ḥisāb
Columbia University Libraries,,1750-01-01T00:00:00Z,ldpd_14230785_000,ara,al-Juzʼ al-ʻishrūn
Columbia University Libraries,,1674-01-01T00:00:00Z,ldpd_13604650_000,ara,al-Juzʼ al-ḥādī ʻashr
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_15265580_000,ara,[Sūrat al-Anʻām]
Columbia University Libraries,,1750-01-01T00:00:00Z,ldpd_14230779_000,ara,al-Juzʼ al-khāmis
Columbia University Libraries,"Ibn al-Ḥājib, ʻUthmān ibn ʻUmar, 1175-1249",1581-01-01T00:00:00Z,ldpd_14649875_000,ara,[al-Kāfiyah]
Columbia University Libraries,,1300-01-01T00:00:00Z,ldpd_14734938_000,ara,[al-Qurʼān]
Columbia University Libraries,,1200-01-01T00:00:00Z,ldpd_14642792_000,ara,[al-Qurʼān]
Columbia University Libraries,"Bāz̲il, Muhammad Rafīʻ ibn Muḥammad al-Mashhadī, -1712",1831-01-01T00:00:00Z,ldpd_14649886_000,per,Ḥamlah-i Ḥaydarī
Columbia University Libraries,"Ibn Hishām, ʻAbd Allāh ibn Yūsuf, 1309-1360",1700-01-01T00:00:00Z,ldpd_15467907_000,ara,Kitāb Matn al-tawḍīḥ
Columbia University Libraries,,1674-01-01T00:00:00Z,ldpd_13604655_000,ara,al-Juzʼ al-thānī wa-al-ʻishrūn
Columbia University Libraries,,1850-01-01T00:00:00Z,ldpd_14734182_000,per,[Two illustrations from Qurʼānic stories]
Columbia University Libraries,,1750-01-01T00:00:00Z,ldpd_13893008_000,ara,al-Juzʼ al-thāmin
Columbia University Libraries,"Gunābādī, Muẓaffar ibn Muḥammad Qāsim, -1621 or 1622",1786-01-01T00:00:00Z,ldpd_14642092_000,per,Sharḥ-i bīst bāb
Columbia University Libraries,"Ulugh Beg, 1394-1449",1836-01-01T00:00:00Z,ldpd_15264398_000,per,[Zīj-i sulṭānī]
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_14642102_000,ara,[al-Qurʼān]
Columbia University Libraries,"Ibn Ḥabīb al-Ḥalabī, Badr al-Dīn al-Ḥasan ibn ʻUmar, 1310-1377",1700-01-01T00:00:00Z,ldpd_14230902_000,ara,Kitāb Nasīm al-ṣabā ..
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_14294930_000,ara,[al-Qurʼān]
Columbia University Libraries,"Ḥarīrī, 1054-1122",1820-01-01T00:00:00Z,ldpd_14734798_000,ara,al-Maqāmāt
Columbia University Libraries,,1400-01-01T00:00:00Z,ldpd_14230809_000,ara,[al-Juzʼ al-khāmis ʻashar]
Columbia University Libraries,,1850-01-01T00:00:00Z,ldpd_13893214_000,per,[Painted manuscript leaves]
Columbia University Libraries,Saʻdī,1700-01-01T00:00:00Z,ldpd_14734763_000,per,[Gulistān]
Columbia University Libraries,,1575-01-01T00:00:00Z,ldpd_14677645_000,per,Chand risālah dar ḥisāb va hayʼāt
Columbia University Libraries,Omar Khayyam,1700-01-01T00:00:00Z,ldpd_15264441_000,ara,Ṣināʻat al-jabr wa-al-muqābalah
Columbia University Libraries,,1674-01-01T00:00:00Z,ldpd_13604636_000,ara,[al-Juzʼ al-thāmin ʻashar]
Columbia University Libraries,,1300-01-01T00:00:00Z,ldpd_14566261_000,ara,[Qurʼān leaves]
Columbia University Libraries,Saʻdī,1627-01-01T00:00:00Z,ldpd_15467897_000,per,Gulistān
Columbia University Libraries,"Jurjānī, al-Ḥusayn ibn al-Ḥasan, active 1332",1500-01-01T00:00:00Z,ldpd_14642100_000,per,[Jalāʼ al-adhhān wa-jalāʼ al-aḥzān fī tafsīr al-Qurʼān]
Columbia University Libraries,,1674-01-01T00:00:00Z,ldpd_13604653_000,ara,[al-Juzʼ al-ḥādī wa-al-ʻishrūn]
Columbia University Libraries,,1750-01-01T00:00:00Z,ldpd_15265573_000,ara,al-Juzʼ al-tāsiʻ
Columbia University Libraries,"Ibn Qāḍī ʻAjlūn, Muḥammad ibn ʻAbd Allāh, 1427 or 1428-1471 or 1472",1600-01-01T00:00:00Z,ldpd_14642701_000,ara,Kitāb Badīʻ al-maʻānī fī sharḥ ʻAqīdat al-Shaybānī
Columbia University Libraries,,1723-01-01T00:00:00Z,ldpd_13893210_000,ota,Hādhā kitāb sih zabān
Columbia University Libraries,"Raz̤avī, Mīr Ghulām Ḥusayn",1700-01-01T00:00:00Z,ldpd_15311691_000,per,Khulāṣat al-handasah
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_15265590_000,ara,[al-Qurʼān]
Columbia University Libraries,"Jighmīnī, Maḥmūd ibn Muḥammad, -1221",1500-01-01T00:00:00Z,ldpd_13604005_000,ara,Al-Mulakhkhaṣ fī al-hayʼah : [manuscript]
